战斗日志导出
导出时间,2026-03-18 23:01:52
总翻牌次数,37
最终己方HP,0
最终敌方HP,2
总回合数,5

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,3,4
4,1,44,50,2,4
5,1,44,50,4,4
6,1,44,44,4,4
7,2,44,44,3,4
8,2,44,44,5,4
9,2,44,38,5,3
10,2,44,38,4,6
11,2,44,38,4,6
12,2,44,32,4,6
13,3,44,32,4,5
14,3,41,32,3,6
15,3,41,32,3,6
16,3,41,26,3,5
17,3,38,26,2,6
18,3,38,26,5,5
19,3,35,26,5,5
20,3,29,26,5,4
21,3,29,26,5,7
22,4,29,26,4,7
23,4,29,26,4,7
24,4,29,20,4,6
25,4,26,20,4,6
26,4,20,20,3,6
27,4,20,20,5,6
28,4,20,14,5,6
29,5,20,14,5,5
30,5,17,14,5,5
31,5,17,14,5,7
32,5,14,14,4,8
33,5,14,8,4,7
34,5,8,8,4,6
35,5,5,8,3,7
36,5,5,2,2,7
37,5,5,2,5,6

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PILE,4,9.25
SOLDIER,13,2.85
BREATHING_EXERCISE,5,7.40
SPIRIT,3,12.33
FLY,7,5.29
