Combat Log Export
Export Time,2026-04-25 18:29:44
Total Reveals,35
Final Owner HP,50
Final Enemy HP,0
Total Rounds,6

Reveal Index,Round,Owner HP,Enemy HP,Owner Deck,Enemy Deck
1,0,50,50,2,3
2,1,50,50,2,2
3,1,50,50,1,3
4,1,50,46,1,3
5,1,50,43,2,3
6,1,50,43,2,3
7,1,50,43,2,4
8,2,50,43,2,3
9,2,50,43,2,4
10,3,50,43,2,3
11,3,50,43,2,3
12,3,50,43,1,4
13,3,50,40,2,3
14,3,50,38,1,4
15,3,50,34,2,3
16,3,50,34,2,4
17,4,50,34,2,3
18,4,50,32,2,3
19,4,50,32,1,4
20,4,50,29,1,4
21,4,50,25,2,3
22,4,50,25,2,4
23,5,50,25,2,3
24,5,50,22,1,4
25,5,50,18,1,4
26,5,50,15,2,3
27,5,50,15,2,3
28,5,50,15,2,3
29,5,50,15,2,4
30,6,50,15,1,4
31,6,50,11,2,3
32,6,50,11,2,3
33,6,50,11,1,4
34,6,50,8,2,3
35,6,50,3,1,4

Card Type,Reveal Count,Interval(Total/Card)
SOLDIER,14,2.50
CURSE_THIRST_BEAST,6,5.83
POISONER,5,7.00
JU_ON,4,8.75
