BODY_CANON|揭晓时:埋葬所有友方;墓地每有一个友方:造成3伤害
GRAVE_PORTAL|揭晓时:埋葬1敌方;被埋葬:置顶1友方
MARTYR|被埋葬:所有友方获得1力量
REVENGER|揭晓时:造成3伤害;被埋葬:获得2力量
SKELETON_SOLDIER|揭晓时:造成3伤害;被埋葬:置顶自身
SLIME|揭晓时:造成4伤害;被埋葬2次:添加自身到卡组中
SPIKE_SKELETON|揭晓时:造成3伤害;被埋葬:造成2伤害x2
UNSTABLE_PORTAL|揭晓时:置顶1友方,埋葬1友方
GRAVE_INVITATION|揭晓时:造成4伤害;墓地每有1友方:埋葬1敌方
GRAVE_KEEPER|揭晓时:造成6伤害;当卡被埋葬时:置顶自身
GRAVE_PUNCH|揭晓时:埋葬1友方,造成3伤害x2
GRAVE_TOGETHER|揭晓时:埋葬1友方,埋葬2敌方
GRUDGE|萦绕;当友方被埋葬时:给予下2张卡2力量
LARGE_SCALE_DEATH|揭晓时:埋葬后4卡
SMALL_DEATH|揭晓时:埋葬后2卡,增强1敌方[诅咒]
WISE_BURIAL|被置顶:埋葬1友方[亡语]
DEATHBED_CURSE|萦绕;当友方被去除时:敌方[诅咒]获得1力量
FALL_INTO_RIFT|去除1[次元裂缝]:埋葬1敌方
RIFT|揭晓时:置顶1友方,去除自身
RIFT_COFFIN|萦绕;当友方被去除时:埋葬1敌方
RIFT_DEVOURER|揭晓时:造成2伤害;当友方被去除时:获得1力量
RIFT_DRAGON|去除2[次元裂缝]:造成6伤害
RIFT_GUIDE|去除2[次元裂缝]:埋葬2敌方
RIFT_INSECT|揭晓时:生成1[次元裂缝]
RIFT_MONSTER|去除1[次元裂缝]:造成4伤害
RIFT_SUMMONER|揭晓时:去除1[次元裂缝],置顶1友方
SACRIFICE_RITUAL|揭晓时:埋葬2友方,生成2[次元裂缝]
CROW_CROWD|揭晓时:将所有友方的力量转移到敌方的[诅咒]
CURSE_CORPSE|揭晓时:增强1敌方[诅咒];被埋葬:造成1x3伤害
CURSE_ENCHANTMENT|萦绕;当敌人受到伤害时:增强1敌方[诅咒]
CURSE_SUMMONER|消耗敌方[诅咒]1力量:置顶1友方
CURSE_THIRST_BEAST|萦绕;当敌方[诅咒]揭晓时:置顶自身;揭晓时:造成4伤害
CURSE_THIRST_SHARMAN|敌方[诅咒]每有1力量:给予1友方1力量
CURSED_SEKELETON|墓地每有1友方:增强1敌方[诅咒]
DETERIORATION|敌方[诅咒]每有2力量:增强1敌方[诅咒]
JU_ON|揭晓时:对自己造成[力量]层数的伤害
MOTH_MAN|萦绕;当敌方[诅咒]获得力量时:置顶1友方
POISNER|揭晓时:增强1敌方[诅咒],造成3伤害
PREMATURE|敌方[诅咒]力量-1:置顶敌方[诅咒]
PROLIFERATING_CURSE|揭晓时:复制敌方1[诅咒]
RIFT_CURSE|揭晓时:增强1敌方[诅咒],生成1[次元裂缝]
SACRIFICIAL_SPIRIT|揭晓时:埋葬1友方,增强2敌方[诅咒]
ADVANCE_PORTAL|每揭晓2次:置顶2友方
ALL_FOR_ONE|揭晓时:造成所有卡的力量数量的伤害
ALMIGHTY|每揭晓2次:造成1伤害,置顶1友方,埋葬1敌方,给予1友方力量,生成1[次元裂缝],增强1敌方[诅咒]
ANTI_CREATURE_WEAPON|揭晓时:埋葬2敌方
BLACKSMITH|揭晓时:造成3伤害,给予一个友方1力量
BLIND_COMBAT_PRIEST|揭晓时:给予下1卡3力量
BONE_COMBINATION|揭晓时:造成1伤害x本回合埋葬敌方数量
BOOSTER|洗牌后:置顶2友方,埋葬1友方
COFFIN_MAKER|揭晓时:造成3伤害,埋葬1敌方
DR_MANHATTON|消耗4力量:置顶2友方,埋葬2敌方
ELDER_SOURCEROR|本回合每置顶过1友方:给予1友方1力量
ETERNAL_GHOST|萦绕;当敌人受到伤害时:造成1伤害
FLESH_COMBINATION|揭晓时:造成友方数量的伤害
GOBLIN_ASSASSIN_TEAM|揭晓时:造成4伤害;被置顶:埋葬1敌方
MAD_SCIENTIST|揭晓时:给予下3卡2力量
OVERCHARGED_SUMMONER|消耗1力量:置顶1友方,给予下2卡1力量
POWER_CRAVER|揭晓时:造成3伤害,获得3倍力量
POWER_SIPHONER|揭晓时:转移所有友方的1力量到自身,造成2伤害x2
POWER_TRANSFER|揭晓时:去除2敌方1力量,给予2友方1力量
QUICK_RESPONSE_PROTOCAL|萦绕;每3敌人被揭晓:置顶1友方
SIDE_EFFECT_PORTAL|揭晓时:增强自身诅咒2,置顶1友方
SNATCHER|揭晓时:造成3伤害;被置顶:置顶1友方;被埋葬:埋葬1敌方
TACTICAL_BREACHER|揭晓时:造成4伤害;被置顶:获得1力量
THE_FOOL|揭晓时:置顶力量最多的敌方,造成4伤害
UNFINISHED_ROBOT|揭晓时:造成0伤害,翻倍自身力量
WEAPON_SPIRIT|萦绕;当友方获得力量时:给予该友方1力量
