# Card Desc vs GameEventListener Check
# Format: CARD|<prefab_name>|<path>|cardDesc=<desc>|listeners=<event_name>,<event_name>,...
#
CARD|GRUDGE|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Recycle Bin/GRUDGE.prefab|cardDesc=萦绕;当友方被埋葬时:给予下 <b>2</b> 张卡 <b>2</b> 力量|listeners=OnFriendlyCardBuried
CARD|IncreaseDeckSizePro|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Recycle Bin/IncreaseDeckSizePro.prefab|cardDesc=卡位增加 <b>3</b>|listeners=OnMeBought
CARD|ADD_RIFT_AND_CURSE|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/ADD_RIFT_AND_CURSE.prefab|cardDesc=揭晓时:生成 1 [次元裂缝];增强 1 敌方[诅咒]|listeners=OnMeRevealed,OnMeRevealed
CARD|CURSED_UNDERTAKER|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/CURSED_UNDERTAKER.prefab|cardDesc=揭晓时:增强 1 敌方[诅咒],埋葬 1 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|DOWNED_FIGHTER|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/DOWNED_FIGHTER.prefab|cardDesc=被埋葬,消耗 <b>1</b> [力量]: 造成 <b><dmg></b> 伤害;\n揭晓时:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnMeBuried
CARD|DUMMY|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/DUMMY.prefab|cardDesc=无效果|listeners=
CARD|GOLEM|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/GOLEM.prefab|cardDesc=揭晓 <b>2<counter></b> 次:造成<b> <dmg> </b>伤害|listeners=OnMeRevealed,OnMeRevealed
CARD|JIJI_THE_KING|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/JIJI_THE_KING.prefab|cardDesc=洗牌后:置顶自身;\n揭晓时:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,AfterShuffle
CARD|JIJI_THE_SECOND|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/JIJI_THE_SECOND.prefab|cardDesc=洗牌后:造成 <b><dmg></b> 伤害|listeners=AfterShuffle
CARD|ONE_TIME_EXILE|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/ONE_TIME_EXILE.prefab|cardDesc=揭晓时:放逐 1 友方, 放逐自身|listeners=OnMeRevealed,OnMeRevealed
CARD|SWITCH|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/_Test Cards/SWITCH.prefab|cardDesc=揭晓时:置顶 1 友方;埋葬 1 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|JU_ON|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/Token/JU_ON.prefab|cardDesc=揭晓时:对自己造成[力量]层数的伤害|listeners=OnMeRevealed
CARD|RIFT|Assets/Prefabs/Cards/3.0 no cost (current)/_DONT INCLUDE/Token/RIFT.prefab|cardDesc=揭晓时:置顶 <b>1</b> 友方,去除自身|listeners=OnMeRevealed,OnMeRevealed
CARD|IncreaseDeckSize|Assets/Prefabs/Cards/3.0 no cost (current)/_UTILITY/IncreaseDeckSize.prefab|cardDesc=卡位增加 <b>2</b>|listeners=OnMeBought
CARD|IncreaseDeckSizeLite|Assets/Prefabs/Cards/3.0 no cost (current)/_UTILITY/IncreaseDeckSizeLite.prefab|cardDesc=卡位增加 <b>1</b>|listeners=OnMeBought
CARD|IncreaseHpMax|Assets/Prefabs/Cards/3.0 no cost (current)/_UTILITY/IncreaseHpMax.prefab|cardDesc=生命值上限增加 <b>3</b>|listeners=OnMeBought
CARD|GRAVE_PUNCH|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/0_Common/GRAVE_PUNCH.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 友方,造成 <b><dmg></b> 伤害 x <b>2</b>|listeners=OnMeRevealed,OnMeRevealed
CARD|GRAVE_TOGETHER|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/0_Common/GRAVE_TOGETHER.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 友方,埋葬 <b>2</b> 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|CORPSE_CANON|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/1_Uncommon/CORPSE_CANON.prefab|cardDesc=揭晓时:埋葬 1 友方;\n友方被埋葬:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnFriendlyCardBuried
CARD|GRAVE_INVITATION|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/1_Uncommon/GRAVE_INVITATION.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害,墓地每有 <b>1</b> 友方:埋葬 <b>1</b> 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|UNSTABLE_PORTAL|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/1_Uncommon/UNSTABLE_PORTAL.prefab|cardDesc=揭晓时:置顶 <b>1</b> 友方,埋葬 <b>1</b> 友方|listeners=OnMeRevealed,OnMeRevealed
CARD|BODY_CANON|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/2_Rare/BODY_CANON.prefab|cardDesc=揭晓时:埋葬所有友方,墓地每有一个友方:造成 <b>1</b> 次 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnMeRevealed
CARD|LARGE_SCALE_DEATH|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/2_Rare/LARGE_SCALE_DEATH.prefab|cardDesc=揭晓时:埋葬后 <b>4</b> 卡|listeners=OnMeRevealed
CARD|WISE_BURIAL|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/Bury/2_Rare/WISE_BURIAL.prefab|cardDesc=被置顶:埋葬 <b>1</b> 友方[亡语]/[萦绕]|listeners=OnMeStaged
