=== slice 0-40 tripped=2 ===
2 clean reveals=400 rounds=38 repeats=1
3 clean reveals=400 rounds=42 repeats=1
4 clean reveals=400 rounds=35 repeats=1
5 TRIP reveals=400 rounds=7 repeats=33
6 TRIP reveals=400 rounds=32 repeats=3
7 clean reveals=400 rounds=46 repeats=1
8 clean reveals=400 rounds=54 repeats=1
9 clean reveals=400 rounds=53 repeats=1
10 clean reveals=323 rounds=60 repeats=1
11 clean reveals=400 rounds=54 repeats=1
12 clean reveals=400 rounds=53 repeats=1
13 clean reveals=400 rounds=48 repeats=1
14 clean reveals=400 rounds=60 repeats=1
15 clean reveals=400 rounds=52 repeats=1
17 clean reveals=393 rounds=60 repeats=1
18 clean reveals=400 rounds=58 repeats=1
19 clean reveals=382 rounds=60 repeats=1
20 clean reveals=389 rounds=60 repeats=1
21 clean reveals=400 rounds=58 repeats=1
22 clean reveals=400 rounds=58 repeats=1
23 clean reveals=400 rounds=58 repeats=1
24 clean reveals=400 rounds=23 repeats=2
25 clean reveals=400 rounds=23 repeats=1
26 clean reveals=400 rounds=23 repeats=1
27 clean reveals=400 rounds=30 repeats=1
28 clean reveals=400 rounds=31 repeats=1
29 clean reveals=400 rounds=25 repeats=1
30 clean reveals=400 rounds=39 repeats=1
31 clean reveals=400 rounds=35 repeats=1
32 clean reveals=400 rounds=33 repeats=1
33 clean reveals=400 rounds=30 repeats=1
34 clean reveals=400 rounds=28 repeats=1
35 clean reveals=400 rounds=25 repeats=1
36 clean reveals=400 rounds=19 repeats=1
37 clean reveals=374 rounds=60 repeats=1
38 clean reveals=400 rounds=53 repeats=1
39 clean reveals=400 rounds=47 repeats=1
40 clean reveals=400 rounds=39 repeats=1
41 clean reveals=400 rounds=11 repeats=1
42 clean reveals=400 rounds=11 repeats=1
=== slice 41-80 tripped=6 ===
44 clean reveals=239 rounds=60 repeats=1
45 clean reveals=362 rounds=60 repeats=1
46 clean reveals=339 rounds=60 repeats=1
47 clean reveals=400 rounds=56 repeats=1
48 clean reveals=400 rounds=57 repeats=1
49 clean reveals=400 rounds=29 repeats=1
50 clean reveals=400 rounds=30 repeats=1
51 clean reveals=400 rounds=21 repeats=1
52 clean reveals=400 rounds=21 repeats=1
53 clean reveals=400 rounds=15 repeats=1
54 clean reveals=400 rounds=15 repeats=2
55 TRIP reveals=400 rounds=18 repeats=3
56 TRIP reveals=400 rounds=9 repeats=89
57 clean reveals=400 rounds=58 repeats=1
58 clean reveals=400 rounds=45 repeats=1
59 clean reveals=400 rounds=25 repeats=1
60 clean reveals=400 rounds=22 repeats=1
61 clean reveals=400 rounds=46 repeats=1
62 clean reveals=400 rounds=27 repeats=1
63 clean reveals=400 rounds=26 repeats=1
64 TRIP reveals=400 rounds=12 repeats=97
65 TRIP reveals=400 rounds=7 repeats=99
66 TRIP reveals=400 rounds=5 repeats=98
67 TRIP reveals=400 rounds=2 repeats=100
68 clean reveals=400 rounds=60 repeats=1
69 clean reveals=291 rounds=60 repeats=1
70 clean reveals=373 rounds=60 repeats=1
71 clean reveals=400 rounds=57 repeats=1
72 clean reveals=400 rounds=50 repeats=1
73 clean reveals=400 rounds=50 repeats=1
74 clean reveals=400 rounds=57 repeats=1
75 clean reveals=400 rounds=50 repeats=1
76 clean reveals=400 rounds=45 repeats=1
77 clean reveals=400 rounds=45 repeats=1
78 clean reveals=400 rounds=45 repeats=1
79 clean reveals=400 rounds=42 repeats=1
80 clean reveals=400 rounds=39 repeats=1
81 clean reveals=356 rounds=60 repeats=1
82 clean reveals=400 rounds=49 repeats=1
=== slice 81-end tripped=9 ===
84 clean reveals=400 rounds=31 repeats=1
85 clean reveals=400 rounds=49 repeats=1
86 clean reveals=400 rounds=28 repeats=1
87 clean reveals=400 rounds=59 repeats=1
88 TRIP reveals=400 rounds=15 repeats=65
89 TRIP reveals=400 rounds=11 repeats=65
90 clean reveals=352 rounds=60 repeats=1
91 TRIP reveals=400 rounds=11 repeats=65
92 clean reveals=356 rounds=60 repeats=1
93 clean reveals=347 rounds=60 repeats=1
94 clean reveals=356 rounds=60 repeats=1
95 clean reveals=400 rounds=53 repeats=1
96 clean reveals=400 rounds=56 repeats=1
97 clean reveals=400 rounds=59 repeats=1
98 clean reveals=376 rounds=60 repeats=1
99 clean reveals=400 rounds=55 repeats=1
100 clean reveals=396 rounds=60 repeats=1
101 clean reveals=400 rounds=48 repeats=1
102 clean reveals=400 rounds=39 repeats=1
103 clean reveals=400 rounds=36 repeats=1
104 clean reveals=400 rounds=29 repeats=1
105 clean reveals=400 rounds=47 repeats=1
106 TRIP reveals=400 rounds=6 repeats=199
107 TRIP reveals=400 rounds=16 repeats=199
108 TRIP reveals=400 rounds=13 repeats=195
109 TRIP reveals=400 rounds=10 repeats=196
110 TRIP reveals=400 rounds=10 repeats=68
111 TRIP reveals=400 rounds=22 repeats=22
