CARD_TYPE_ID	中文名	rarity	口径	频率/轮	效果拆解	值预览	备注
AVENGER_4.0	长高的坟头	normal	标准		攻击1[直发] + 给力量自身1[遗言]	2.2	
BEAST_REVIVER	笼里的东西	normal	标准		攻击2[直发] + 复活友方1[直发]	4.0	
BLACKSMITH_4.0	巷口的磨刀人	normal	标准		攻击2[直发] + 给力量友方1[直发]	2.8	
ELITE_REVIVER	描过金的牌位	normal	标准		攻击2[直发] + 复活友方1[直发]	4.0	复活目标=被强化过的
GRAVE_DREDGER	还没停的挖掘机	normal	标准		攻击2[直发] + 磨牌3[直发]	-0.4	
GRAVE_FIST	替死鬼	normal	标准		埋友方1[直发] + 攻击4[直发]	2.8	
GRAVE_PUNCH_4.0	没有指纹的凶器	normal	标准		埋友方1[直发] + 攻击4[直发]	2.8	攻x2: ATK2x2=4
LAST_GIFT	遗物整理师	normal	标准		攻击2[直发] + 给力量友方1[遗言]	2.64	
RIFT_ACOLYTE	自己签满的签到表	normal	标准		攻击2[直发] + 生成信徒1[直发] + 生成信徒2[苏醒]	2.0	
RIFT_INSECT_4.0	门口多出的鞋印	normal	标准		攻击3[直发] + 生成信徒1[直发]	3.0	
RIFT_SHEPHERD	来接人的黑车	normal	人工覆盖			2.2	攻2+复活[信徒]; 信徒=空白体≈0.2, 仅转化器存在时有值
SOLDIER_SKELETON_4.0	换岗的哨兵	normal	标准		攻击2[直发] + 置顶友方1[遗言]	3.2	置顶自身
SPIKE_SKELETON_4.0	医学院的标本	normal	标准		攻击2[直发] + 攻击4[遗言]	5.2	遗言攻x2
SPIRIT_CALLER	深夜来电	normal	标准		攻击2[直发] + 复活友方0.8[直发]	3.6	复活非生物, 质量折减0.8
TWIN_STRIKER	一对纸人	normal	标准		攻击2[直发]	2.0	1x2
WAKING_FIGHTER	梦游的拳手	normal	标准		攻击2[直发] + 给力量自身1[苏醒]	3.2	
WAR_TRAINER	点眼的扎纸匠	normal	标准		给力量友方2[直发]	1.6	
WOKEN_BLADE	头七的刀	normal	标准		攻击2[直发] + 攻击4[苏醒]	5.2	苏醒攻x2
AWAKENED_REAPER	来领人的家属	uncommon	标准		攻击2[直发] + 埋敌方1[苏醒]	3.6	
BATTLE_HORN	最后一节课的铃	uncommon	标准		攻击次数全体+11[直发]	4.0	
COMBO_GRANTER	多摆的一副碗筷	uncommon	标准		攻击1[直发] + 攻击次数单体+11[直发]	2.5	
COMBO_STARTER	添灯油的长明灯	uncommon	标准		攻击1[直发] + 攻击次数单体+11[强化反应]	2.2	目标=自身
CURSE_EATER	吞玻璃的人	uncommon	标准		攻击3[直发]	3.0	攻=敌方诅咒攻击力(参考3), 无诅咒时0
CURSE_GARDENER	疯长的绿萝	uncommon	标准		强化敌方诅咒1[直发] + 复活敌方诅咒1[直发]	3.2	
CURSE_REVIVER	洗不掉的印子	normal	标准		攻击0[直发] + 复活敌方诅咒1[直发]	2.0	
CURSE_SUMMONER	替人叫魂的喇叭	uncommon	标准		复活友方1[直发] + 复活敌方诅咒1[直发]	4.0	
CURSE_THIRST_BEAST_4.0	偷吃供品的黄皮子	uncommon	标准		攻击2[直发] + 复活友方1[条件]	3.6	敌方诅咒揭晓时复活自身, 条件层x0.8
DEATHBED_GRANT	入殓师	uncommon	引擎	1.5	攻击2[全局C]	3.0	被埋友方生物攻击, 友方埋葬≈1.5/轮
DEATHBED_PORTER	抬上楼的纸别墅	uncommon	标准		攻击2[直发] + 攻击2[遗言] + 置顶友方1[遗言]	4.8	置顶非生物
EULOGIST	哭灵人	uncommon	人工覆盖			2.5	埋[遗言]友方=主动点火(−2.0+DR期望2.5)+攻2; 公式只能得0.8
EXILE_BERSERKER	送行酒	uncommon	标准		攻击2[直发] + 攻击次数单体+11[条件]	3.2	每放逐1友方攻击次数+1; 放逐源仅3张
FINAL_ESCORT	引路的白灯笼	uncommon	标准		攻击1[直发] + 置顶友方1[遗言]	2.2	回合末置顶最高攻
FLURRY_REVIVER	棺材里的敲门声	uncommon	标准		复活友方1.25[直发]	2.5	目标=攻击次数最多, 质量修正1.25
FUNERAL_WILL	贴在门上的保险书	uncommon	标准		磨牌2[直发] + 延迟复活1[遗言]	-0.48	
GRAVE_GIANT	不停滴水的行李袋	uncommon	标准		攻击3[直发]	3.0	攻=墓地友方数(参考3), 随自磨成长
GRAVE_HEXER	白事先生	uncommon	标准		复活友方1[直发] + 强化敌方诅咒2[直发]	4.4	
GRAVE_PUPPETEER	监控里的人	uncommon	人工覆盖			2.0	墓地生物攻击2.0+无友方时埋[遗言]fallback
GRAVE_ROBBER	收尸人	uncommon	人工覆盖			3.0	复活最强敌方并夺取攻击力, 复合特殊效果
